"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","fontLabelMedium","Tap5If","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","All",""
"","","","","","","","","","","","","","","","hostels","44"
"","","","","","","","","","","","","","","","engineering college","31"
"","","","","","","","","","","","","","","","lake","26"
"","","","","","","","","","","","","","","","jee","14"
"","","","","","","","","","","","","","","","1958","13"
"","","","","","","","","","","","","","","","institutes of national importance","10"
"","","","","","","","","","","","","","","","1961","10"
"","","","","","","","","","","","","","","","parliament","10"
"","","","","","","","","","","","","","","","engineering education in india","9"
"","","","","","","","","","","","","","","","cultural festival","8"
"","","","","","","","","","","","","","","","+6",""
"https://lh3.googleusercontent.com/a-/ALV-UjXpTis625TSS90TmBNvOfPU-m6pC68z-0SGmj9TFdUhxgiA=w54-h54-p-rp-mo-ba5-br100","Gurvinder Grover","Local Guide · 81 reviews · 341 photos","","","5 months ago","Beautiful huge green campus 🌸 has many restaurants and SBI bank inside it. Abode where dreams nurture 🎇 …","","0:10","+6","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVC-Yf9RBuq2gKrv_Np5YrEPJOwjVCduxwqZzfWtUR3O74=w54-h54-p-rp-mo-ba5-br100","Onkar Date","Local Guide · 182 reviews · 1,140 photos","","","a year ago","I visited IIT Bombay to attend their cultural fest, and it was an incredible experience. The first thing that struck me was the sheer size of the campus, which is massive and well-organized. The different buildings for different locations …","More","","+4","","Like","10","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUZlwdtg6dXVdNWgociMgtCDY_OstO7YvwDxVlCHlF_pw_z=w54-h54-p-rp-mo-ba6-br100","Varad Marathe","Local Guide · 76 reviews · 681 photos","","","a year ago","Best Institute I have Ever Seen.
Campus is very good
This Institute have all types of facility available …","More","0:13","+21","","Like","7","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXsV2X7M7aYrLHxO-Dv-j01t3LGS6xkue2RzR3J-QIUAbc=w54-h54-p-rp-mo-br100","Anbu Raja","4 reviews","","","a week ago","Overview

Course admissions …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX2eo223lnf4jJ1ZjNVdJz2FP7yd02Acr0oTvRBYvAlxtI=w54-h54-p-rp-mo-ba5-br100","vidyadhar bhalerao","Local Guide · 306 reviews · 131 photos","","","8 months ago","One of the premier institutes for UG and PG in Engineering and many other courses. With a history of more than 50 years this institute nurtures students who are one of the finest brains in our country. With a campus of 500 acres this institution boasts various alumni including Nandan Nilekani and others.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWZn9LFBgUEdNj7iEMMyIYWr1jADXilJi_44wsTtafY1w=w54-h54-p-rp-mo-ba3-br100","Ankit Kumar singh","Local Guide · 18 reviews · 98 photos","","","3 months ago","IIT Bombay is one of the premier engineering institutes in India, renowned for its academic excellence and research contributions. The institute offers a wide range of undergraduate, postgraduate, and doctoral programs. The campus is …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWv-yFqZDaAv3Y6CDkCEkiakBSNB5M7lOf75BANkivIOw=w54-h54-p-rp-mo-ba3-br100","YASH THANGE","Local Guide · 16 reviews · 39 photos","","","a year ago","A dream for all of the engineers
The hardwork the engineers do to get into this place is completely paid off when they enter this institution …","More","0:03","+26","","Like","17","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVlqyVor__6C95ObMj-4XaxcazMJsDyr0VKSj3kJeoxasY=w54-h54-p-rp-mo-ba5-br100","Yashwone Sahu","Local Guide · 44 reviews · 828 photos","","","a year ago","I got the amazing experience in IIT Mumbai ,it's lovely plase there is so many facility & games, sports arena etc. The best part of IIT Bombay they Organise the Asia's largest Techfest, Asia's largest cultural fest(mi)mood Indigo and e-cell IIT Bombay for students from diffrent cities or college student are comes for this fest.","","0:07","+19","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV5knwvHD38ZtNWdblYgG-xfogQkVvWxDH2USikWt1eOcE=w54-h54-p-rp-mo-ba4-br100","Niraj Torane","Local Guide · 72 reviews · 323 photos","","","11 months ago","Visited IIT Bombay for the Aavahan 2023. It was an amazing experience to be here for the event.
The services provided were average but to be here at IIT Bombay, itself is the …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWgTY4otZlbKMTTnz0Jt_yEY1pUzWH6SLpGjpgpmMlIM-Nr=w54-h54-p-rp-mo-ba4-br100","Digvijay Khot","Local Guide · 17 reviews · 537 photos","","","a week ago","Hostel 12 view from 7th floor terrace 😍 …","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLxZRWbEe-bzgmqJdw00LAYVWCW_cV7lOFptLtkXWRE=w54-h54-p-rp-mo-ba4-br100","Learn 'To be smart","Local Guide · 84 reviews · 271 photos","","","2 months ago","The IIT Bombay Techfest was an exhilarating showcase of innovation and technology. The diverse range of exhibits, workshops, and competitions provided a holistic view of cutting-edge advancements. Organizational efficiency ensured a seamless flow of events. Overall, a commendable effort in fostering a tech-savvy community.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLJncYL4hMtVVaY_5JbzpXsuZ5fEFcpwRMAKEbqCfXD=w54-h54-p-rp-mo-ba3-br100","Aaruhan B.","Local Guide · 24 reviews","","","2 months ago","One of the best universities and best university campuses in the world! It is always nice to see successful individuals graduating from universities like this, where they learn the importance of friendship, dedication, and some much more to a great extent.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJT1Qxr9ArEhHN2rK2fI_FzBrrgvMKSiuLcRm5iRoom=w54-h54-p-rp-mo-ba3-br100","Dimple Dhanuka","Local Guide · 28 reviews · 36 photos","","","a month ago","IIT Bombay is the most renowned and popular and among the top 5 technology institute in India..The campus is huge and bestowed with  facilities required for students","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUm2033fCkHtX2ehCjyGL2SG18oqP5CYxEixTHn-laOKFY=w54-h54-p-rp-mo-ba5-br100","mohan kumar","Local Guide · 441 reviews · 86 photos","","","6 months ago","Great Institution with planty of flora and fona. But some of the old buildings, especially housing, are really in pathetic conditions.","","0:25","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVoK25cK_AO7yYEc9eY1oGoq8c6DX8Kx9BLpt1KerXhACU=w54-h54-p-rp-mo-ba4-br100","Nimai Diger","Local Guide · 57 reviews · 83 photos","","","a month ago","IIT Bombay is the best institute of engineering in India.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIkoA-TLMPX-nLAyO6U5cRSQVtXkyvl46D8rEjz6K6_=w54-h54-p-rp-mo-br100","Rahul","82 reviews · 743 photos","","","a year ago","Amazing place
Good ambience
Nature all around …","More","","+15","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW0RZ_MS0mWUwYPNjvMo5jwXAxp5GFDBafYfTebjS6cmak=w54-h54-p-rp-mo-ba5-br100","Sujit Patel","Local Guide · 159 reviews · 448 photos","","","3 years ago","One of the finest engineering college in INDIA.
Management is good.
It is mostly famous for research and techfest. …","More","","+14","","Like","33","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVZWZLlM23r_UsBzonczDSf_xKXdvnKCW7lwhAIXshqvF8=w54-h54-p-rp-mo-ba6-br100","Deepak Kumar (Elitedkumar)","Local Guide · 488 reviews · 5,158 photos","","","5 years ago","As this place is known for it's best name in India's higher academic Calibre internationally. Right from the main gate to Sameer Hill, market area to lake area almost everything of this place is beautiful to be in company of. Especially the …","More","","+21","","Like","14","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUlJoXCIqguB1eKsy1hwIhSiK9CNmzoB2KqQxUe5QWcEg=w54-h54-p-rp-mo-ba2-br100","Aakash Nagar","Local Guide · 10 reviews · 4 photos","","","a week ago","One of the places where students can learn things! Great Engineering College with beautiful architecture and campus...","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUsCbQJ3SaMPHl0K_o_6RHFz6LyrHzgntS2igEH3OPklw=w54-h54-p-rp-mo-ba5-br100","Bhavesh Ahire","Local Guide · 93 reviews · 1,209 photos","","","3 years ago","This is one of the best institute for engineering education in India. Campus of this institute is serene. I felt so peaceful during my stay. There are many trees within this campus. Beside the campus, lake is there where you can sit and …","More","","+2","","Like","96","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVKvnG4LdaLOSdHzhq3cgbgf4B0S6EfZIPaCyMc2yh_HZM=w54-h54-p-rp-mo-br100","Pradeep Kumar","71 reviews · 65 photos","","","6 days ago","Excellent place
It’s good to have an exit plans in case u don’t enjoy academics","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXzRPxgF2kwgvyXUkToGMXuAJh3raMFE4rHyra3SMf4co8=w54-h54-p-rp-mo-ba4-br100","Anant andurlekar","Local Guide · 125 reviews · 82 photos","","","3 months ago","This is a very beautiful campus. Well maintain and clean. The lakeside road is also very beautiful to look. I went there in the evening and it was very cold just the way I like it.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUXHRCF1urAx0W10onTtiF3Hm-ViyXYvMjAzS6Z1uLyNGE=w54-h54-p-rp-mo-ba5-br100","Anupam Srivastava","Local Guide · 165 reviews · 1,101 photos","","","5 years ago","Premier Institute, Nice campus. Visited in the month of January to attend WCDM. Big and nice halls and classrooms. Stayed in a newly built building 'Padam Vihar'.  Being new every thing was at its place. Dining place was good, excellent …","More","","+17","","Like","15","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJcT66OGCUiriCFYDRAtNIv6mxlFSiElBNvgfzMvBP7=w54-h54-p-rp-mo-ba4-br100","SONIA CHOUDHARY","Local Guide · 85 reviews · 488 photos","","","5 years ago","IIT BOMBAY is a brand name famous all over the world. Every student wants to be a part of it. They have a very huge campus. Food served in the mess is really reasonable and tasty. They have lot of activities along with the best academics","","","+11","","Like","18","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX8s-CHJTlrgbtk5KIoQUGmaemfDRaPD52-tEurv1K0SD8_=w54-h54-p-rp-mo-ba4-br100","Souvik Pradhan","Local Guide · 27 reviews · 273 photos","","","a year ago","There were many companies that used to come for internships for 3rd year summers. The average stipend of a summer intern would be nearly 50k whereas it's 15k for winter internships. They usually selected the students on the basis of their resumes and further interviews.","","","+3","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVfa2RgG-7Jt6jLvH4LkBMYvGbz_btZqoQ5Wz8jkHGt7t4=w54-h54-p-rp-mo-ba4-br100","Sharath K P","Local Guide · 47 reviews · 250 photos","","","5 months ago","The Indian Institute of Technology Bombay (IIT Bombay) is a prestigious institution renowned for its academic excellence, cutting-edge research, and a vibrant campus life. Situated in Powai, Mumbai, it stands as a pinnacle of technological …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW-OysuXejbzygFX0BGy7xyCaLNnSvAYbjZzceL5ihaBqKI=w54-h54-p-rp-mo-ba3-br100","Vishal Pednekar","Local Guide · 35 reviews · 87 photos","","","6 years ago","Large and well maintained campus situated beside Powai lake amongst dense trees, the place gives you complete peace of mind and recreation. IIT promotes various activities for  the budding engineers.","","","+5","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUzWte-neUyh4CvOBlthygNVj1z9sSmKfDfyaqpytKaZ7A=w54-h54-p-rp-mo-ba4-br100","Irshad Patel","Local Guide · 61 reviews · 90 photos","","","a year ago","This is one of the best enginnering institute of India..Top most reputed institute..There are many trees within this campus. Beside the campus, lake is there where you can sit and enjoy the beauty of nature.","","","","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKrBcsXcRc67MaG549SYNrYgEoQNWS6K4pXJf3z1RRt=w54-h54-p-rp-mo-br100","Rahul GUPTA","9 reviews","","","2 days ago","A really very good place with great teacher's & faculties.. it's really recommendable..","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW2fF7Ei0FzXpLPmwJNWgqj4XfJn97GP5SG_rbkXExs-f28=w54-h54-p-rp-mo-br100","Sandeep","4 reviews","","","7 months ago","Visiting the Indian Institute of Technology Bombay must have been an incredible experience! The institute's reputation for academic excellence and cutting-edge research surely left a lasting impression on you. Exploring the campus and …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLXJ-0k-VfALKXhptwDK04v7d-8742DN6xNYoMYLWaeT_U=w54-h54-p-rp-mo-ba5-br100","Akash Kumar","Local Guide · 148 reviews · 829 photos","","","a year ago","Magnificent campus 😄 diversified streams
Once you enter it's like you are inside a maze …","","0:15","+5","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV6by-yxl18_s_HcTMFgHmAU2fmRZic3QTj3mJDFcLXZkjz=w54-h54-p-rp-mo-ba5-br100","Sanket Malewadikar","Local Guide · 118 reviews · 531 photos","","","6 years ago","A best place to get your education. It teaches you everything from personality development to real life. A great area with lush green campus. A place where you'll inculcate yourself.","","","+13","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWX86pURzL8vBpeJNUlkkYfGjcJCFD0xip22X3lvpOAzMk=w54-h54-p-rp-mo-br100","Shubham Singhal","3 reviews","","","9 months ago","Situated alongside Powai Lake, one of the most picturesque campuses in the country, stands one of the finest colleges renowned for its excellence in education. The college boasts a beautiful campus adorned with stunning architecture and …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVsEpXWFmruvX8-J1v06Lemyg1_fHtULvDJhtALJ3QvQaIP=w54-h54-p-rp-mo-ba5-br100","Debabrata Mallick","Local Guide · 56 reviews · 660 photos","","","a year ago","I completed my M.Tech CSE from here. It's one of the best universities all over the world.","","","+3","","Like","24","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVP6givkIpiWYCwdTox-cKc52LBWwe8HW-UPlJYaRkCUbEn=w54-h54-p-rp-mo-ba5-br100","Om Smaran","Local Guide · 120 reviews · 413 photos","","","a year ago","When in IIT Bombay, seize every opportunity that comes along to improvise yourself and live the life of your dreams ✨","","","+9","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjURMbC3Bm3YQqvmrKrhh13ND0AiNxYxRuM59BbDSnbWNA=w54-h54-p-rp-mo-br100","Ishaan chaurasiya","13 reviews","","","7 months ago","I've been a visitor over, and believe me here are the best facilities provided to the students and other people studying here. Not only this I was amazed by the fact that there are sci-fi workshops, wonderful exhibitions, IIT's tech fest …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUArUzNkb4h6wh8yFMKTDaAov35kymvxhukGxJj9BdbGp4=w54-h54-p-rp-mo-ba3-br100","Aniket Gupta","Local Guide · 24 reviews · 56 photos","","","3 months ago","Best of the best institute 😄.
My dream to study in this college..
Good environment and services is also good.. …","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVsn0abLTBsmIsbEW5GrUlZrJAi_g7Q3JYHLiF_4U8L0b4=w54-h54-p-rp-mo-ba4-br100","mayank madia","Local Guide · 76 reviews · 199 photos","","","8 months ago","Seize every opportunity that comes your way, and IIT will become a reality.","","","+4","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXEwyQc04TZrMT3L5WxlB4r-fu4rez7z43eTaV6UBu2oCg=w54-h54-p-rp-mo-ba4-br100","Sukumar Chougle","Local Guide · 129 reviews · 42 photos","","","5 months ago","Great campus but JUNK FOODS EVERYWHERE
I spent yesterday full, visited two canteens, i enquire for simple vegetable foods like idli, pulao, Thali ..but hard to find . But lot of Junk foods on list","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXkMcBuIJZ4fUo1aFvz5b6TKTezWTseSaCjFNJdPeAZEg=w54-h54-p-rp-mo-br100","Maharshi Baranwal","4 reviews · 7 photos","","","3 weeks ago","Indian institute of technology Bombay is the best college......
I love it ❤️😍 …","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUL2UngoEe41TLCs8upnl-hfbjCyVpLyvOFhny14Bdl8wk=w54-h54-p-rp-mo-ba5-br100","Syomantak Chaudhuri","Local Guide · 80 reviews · 918 photos","","","6 years ago","Awesome place with amazing sports facilities. Great atmosphere to study for those who are interested. Amazing campus, very peaceful and calm, something unimaginable in Mumbai city. It has a lot of extra curricular activities to ensure …","More","","","","Like","13","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV4IcAzyLRYyr2Xggi1A3Ra33WrJbFupeMwHZplXarYdnw=w54-h54-p-rp-mo-ba3-br100","Khalid Mahfooz","Local Guide · 16 reviews · 143 photos","","","6 months ago","My Experience was very good at IIT-B, Staffs  & faculty members were very supportive.A very huge campus. You will need to take the ferry to explore the campus.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJhN3RFGrkyBhtNdSy_TPGI1v36PV-mfMQ-s14JT51i=w54-h54-p-rp-mo-br100","39_Uday Nimse","3 reviews","","","3 months ago","I visited the dominis on iit Campus the order system was not proper they almost took more than halfhour for my order it was a very bad experience.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWSEPvpOJxOmpmEec2WnQSpR9uOMBm4Fpew7Tie36IX9xVC=w54-h54-p-rp-mo-ba6-br100","Monu Soni","Local Guide · 198 reviews · 1,535 photos","","","2 months ago","Best in class,
Almost everything is good,.
Nice infrastructure, well-managed system,
Trained staff , best education","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXky-D8IUF3Uc43Oii_Sf-2AN4D49akpOHnLD5VrU3KmlJk=w54-h54-p-rp-mo-ba7-br100","Anish R Nath","Local Guide · 630 reviews · 4,325 photos","","","3 weeks ago","Beautiful campus","","0:05","+10","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVCzekOTJSyq94abrx4oAm4yokvauS2Wng6FhXJe6x36pM=w54-h54-p-rp-mo-ba5-br100","Rahul_G","Local Guide · 93 reviews · 877 photos","","","6 months ago","About IIT Bombay | Indian Institute of Technology Bombay Executive MBA | EMBA in Mumbai | IIT Bombay-WashU Executive MBA IIT Bombay removes branch change option to reduce stress on ...IIT Bombay: List of courses available, eligibility. The …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVN4VNhNtrcT2plE0LMCtcd1S3jMHGep4NtS9zz1CD9ySPI=w54-h54-p-rp-mo-br100","DIPAK SONBARSE","37 reviews","","","6 months ago","Most REPUTED and BEST TECHNOLOGY EDUCATION INSTITUTE of INDIA Creates GLOBAL BUSINESS LEADERS and FOUNDERS also Best TECHNOLOGY PROFESSIONAL Doing BEST JOB in ABROAD COUNTRIES and in INDIA Also .  BEST FACULTIES With GOOD STAFF.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV_ZcL9-WxKuNeWgwCHvKcsV6mKYDqxQf4Y-X6aPOANCKQ=w54-h54-p-rp-mo-ba7-br100","Bhaumik Birje","Local Guide · 144 reviews · 7,080 photos","","","4 months ago","What a great campus. The area is very huge. Might take a whole day to wander. The festivals are really a fun thing to attend. Many people come here every year, mostly in December/January for TechFest.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUYs7hE930dceSj26Nq23GO2MnybDXRyhQQ_BDnb2ZLZsMF=w54-h54-p-rp-mo-ba4-br100","Sahil Singh","Local Guide · 45 reviews · 385 photos","","","6 years ago","Come amongs best colleges of India
Host Asia's biggest fest TECH FEST every year.","","","+5","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ-8OTu4V6xR8g5_P6yH-OO8QrLc-EG57SIqmYfuCyJ=w54-h54-p-rp-mo-ba2-br100","Shubhada K","Local Guide · 18 reviews · 9 photos","","","a year ago","The most premium technological institute in India, IIT Bombay boasts the best teaching staff and some of the sharpest students in the country. It also has a large campus, in the heart of the city, which is very rare in Mumbai. Also, inside the campus it is very beautiful, with lots  of greenery.","","","","","Like","29","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWJ5Y0zujROOuZ6iTvlnOGU2-Yg-rLW0SP2Gd-eC6IWfpk=w54-h54-p-rp-mo-ba6-br100","Sanjay Kulkarni Jalgaon Nasik","Local Guide · 245 reviews · 1,527 photos","","","5 months ago","one of the top universities in india.","","0:29","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUMyaDBsTXlQBDZB3CLEsTbzvdwGmERTJj4i_P26zRdsoLH=w54-h54-p-rp-mo-ba5-br100","69_IT_Sritika Manjrekar","Local Guide · 31 reviews · 591 photos","","","3 years ago","Indian Institute of Technology Bombay is a public technical and research university located in Powai, Mumbai... Best 💯👏👍 college for engineering... Campus is also good... Number one education Institute in Maharashtra... Placement from IIT …","More","","","","Like","13","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUi4-edajXMF2FI-cPfFQLXcMMiJS7FWTKt4oTXlqFsTFs=w54-h54-p-rp-mo-ba4-br100","Rahul Srivastava","Local Guide · 88 reviews · 30 photos","","","4 months ago","One of the best IIT to study. This institute doesn't need review, everyone knows about it","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVvcp2MRJewluntx8OT5jhFxoq9vgMl5fnR1E-psRHkE_U=w54-h54-p-rp-mo-ba4-br100","hardik velani","Local Guide · 65 reviews · 132 photos","","","6 years ago","Every old IIT is good and unique and it will give you ample of opportunities to grow.🤗🤓
IIT Bombay has the best infrastructure among all of them. 👌👌👌 …","More","","","","Like","9","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjURiW4vx-ueyT3_vM858veiZkk67-tyezCZm-z7TJYgZ3E=w54-h54-p-rp-mo-br100","Chaitanya Tudu","2 reviews","","","11 months ago","It is very good place for education, seniors are so  friendly and helpful. So much of sports, cultural and others physical skills facilities. If I talk about professors and staffs are so  helpful. One of good thing of campus is fully greenery","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV0jInaRaVq1zOOXEnPdmQxbYjoLF5FnxaweY3cR6Vw3Uc=w54-h54-p-rp-mo-br100","aakash hossain","29 reviews · 2 photos","","","3 months ago","Went there to participate at the 3rd International Conference on Water Technologies (ICWT-2023). Great experience, great place.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXLHVajyD-LbwAPo8SJpkpaUIL-rXp7oIT9zzfQScV31iK4=w54-h54-p-rp-mo-ba3-br100","ok (Lad)","Local Guide · 19 reviews · 67 photos","","","7 months ago","Huge campus. A city in itself with its own flaura and fauna","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV9Ea5L0TwkCF7v10JSeQvwUGY3rLueCCrMvqJdxmCqvhwi=w54-h54-p-rp-mo-ba3-br100","Sagar Ingale","Local Guide · 21 reviews · 4 photos","","","a year ago","Such a delightful place, the campus is so beautiful and ideal for study purposes. Too much of trees in the roadsides make the whole campus very calm and peaceful. The playgrounds are well maintained and world class TT rooms, volleyball courts, badminton courts are there. Recommended for better education.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWpDvgTD-TLL3Xp_Ena6D0BS7w5LTUgr-2DJO1JLTPqOaQ=w54-h54-p-rp-mo-ba4-br100","Ravinder Kumar","Local Guide · 76 reviews · 199 photos","","","6 years ago","Best IIT. Large and Green campus. Good environment for studies.","","","","","Like","4","","Share","",""
